id,bt_random,time_random
020001,0,0.189484
020002,0,0.009981
020003,0,0.009978
020004,0,0.019945
020005,0,0.019953
020006,0,0.029932
020007,0,0.00997
020008,0,0.039895
020009,0,0.009956
020010,0,0.009965
020011,0,0.009983
020012,0,0.009974
020013,0,0.009967
020014,0,0.009963
020015,0,0.019933
020016,0,0.019925
020017,0,0
020018,0,0.009967
020019,0,0.019944
020020,0,0.009976
020021,0,0.019965
020022,0,0.009968
020023,0,0.019961
020024,0,0.00998
020025,0,0.009988
020026,0,0.009958
020027,0,0
020028,0,0.009993
020029,0,0.010005
020030,0,0.009976
020031,0,0.009964
020032,0,0.009977
020033,0,0.009973
020034,0,0.009951
020035,0,0.019941
020036,0,0
020037,0,0.019933
020038,0,0.019851
020039,0,0.009973
020040,0,0.009983
020041,0,0.009958
020042,0,0.019945
020043,0,0.009973
020044,0,0.00994
020045,0,0.009977
020046,0,0.010059
020047,0,0.019946
020048,0,0.009972
020049,0,0.029877
020050,0,0.029935
020051,0,0.019943
020052,0,0.029925
020053,0,0.019953
020054,0,0.01995
020055,0,0.009916
020056,0,0
020057,0,0.010011
020058,0,0.029914
020059,0,0.019952
020060,0,0.009969
020061,0,0.029907
020062,0,0.00995
020063,0,0.029913
020064,0,0.059855
020065,0,0.029927
020066,0,0.029899
020067,0,0.049862
020068,0,0.049824
020069,0,0.02991
020070,0,0.02992
020071,0,0.029948
020072,0,0.009978
020073,0,0.019938
020074,0,0.009929
020075,0,0.019953
020076,0,0.029924
020077,0,0.009976
020078,0,0.019964
020079,0,0.019958
020080,0,0.019948
020081,0,0.019945
020082,0,0.019938
020083,0,0.019968
020084,0,0.009977
020085,0,0.019949
020086,0,0.009986
020087,0,0.01993
020088,0,0.019953
020089,0,0.019946
020090,0,0.009965
020091,0,0.019826
020092,0,0.009964
020093,0,0.00999
020094,0,0.019944
020095,0,0.009984
020096,0,0.009993
020097,0,0.019942
020098,0,0.009979
020099,0,0.00997
020100,0,0.019945
020101,0,0.009975
020102,0,0.019944
020103,0,0.009991
020104,0,0.009963
020105,0,0.019943
020106,0,0.029921
020107,0,0.019979
020108,0,0.019877
020109,0,0.010117
020110,0,0.01982
020111,0,0.009984
020112,0,0.009969
020113,0,0.01996
020114,0,0.020057
020115,0,0.019949
020116,0,0.009963
020117,0,0.009972
020118,0,0.029926
020119,0,0.019935
020120,0,0.079786
020121,0,0.029928
020122,0,0.019943
020123,0,0.01993
020124,0,0.029908
020125,0,0.029898
020126,0,0.029924
020127,0,0.019939
020128,0,0.019946
020129,0,0.019953
020130,0,0.029962
020131,0,0.009966
020132,0,0.019931
020133,0,0.029909
020134,0,0.019942
020135,0,0.019947
020136,0,0.07979
020137,0,0.009976
020138,0,0.02992
020139,0,0.009975
020140,0,0.019939
020141,0,0.019958
020142,0,0.029901
020143,0,0.019937
020144,0,0.00997
020145,0,0.020087
020146,0,0.019951
020147,0,0.009971
020148,0,0.019963
020149,0,0.009976
020150,0,0.019936
020151,0,0.009963
020152,0,0.009961
020153,0,0.009954
020154,0,0.00997
020155,0,0.009989
020156,0,0.029933
020157,0,0.00998
020158,0,0.00998
020159,0,0.009971
020160,0,0.009972
020161,0,0.009975
020162,0,0.019946
020163,0,0.009924
020164,0,0.00999
020165,0,0.010009
020166,0,0.009979
020167,0,0.009975
020168,0,0
