id,bt_random,time_random
020001,0,0.12965
020002,0,0.00997
020003,0,0.009999
020004,0,0.019956
020005,0,0.009978
020006,0,0.009979
020007,0,0.010336
020008,0,0.019575
020009,0,0.010372
020010,0,0
020011,0,0
020012,0,0
020013,0,0
020014,0,0
020015,0,0.010407
020016,0,0.010003
020017,0,0.019945
020018,0,0.009981
020019,0,0
020020,0,0.009961
020021,0,0
020022,0,0
020023,0,0
020024,0,0
020025,0,0
020026,0,0.009995
020027,0,0
020028,0,0.009994
020029,0,0.019973
020030,0,0.009966
020031,0,0.010003
020032,0,0.009984
020033,0,0
020034,0,0
020035,0,0
020036,0,0
020037,0,0
020038,0,0.009978
020039,0,0.009966
020040,0,0.009971
020041,0,0.009969
020042,0,0.009627
020043,0,0.009982
020044,0,0
020045,0,0
020046,0,0
020047,0,0
020048,0,0
020049,0,0
020050,0,0
020051,0,0.00997
020052,0,0.009974
020053,0,0.009972
020054,0,0.009974
020055,0,0.009975
020056,0,0
020057,0,0
020058,0,0
020059,0,0
020060,0,0
020061,0,0.009989
020062,0,0
020063,0,0
020064,0,0
020065,0,0.009976
020066,0,0.009976
020067,0,0.009974
020068,0,0.009973
020069,0,0.009973
020070,0,0.00998
020071,0,0.00997
020072,0,0.009976
020073,0,0.009972
020074,0,0.009972
020075,0,0.009978
020076,0,0.009968
020077,0,0.009971
020078,0,0
020079,0,0
020080,0,0
020081,0,0
020082,0,0.009815
020083,0,0.009983
020084,0,0.009972
020085,0,0.009999
020086,0,0.00999
020087,0,0.009965
020088,0,0.009975
020089,0,0.009977
020090,0,0.009964
020091,0,0.009975
020092,0,0
020093,0,0
020094,0,0
020095,0,0
020096,0,0
020097,0,0.010024
020098,0,0.009967
020099,0,0.020312
020100,0,0.009611
020101,0,0.009972
020102,0,0.009977
020103,0,0.009972
020104,0,0.010297
020105,0,0.010329
020106,0,0.009617
020107,0,0.010419
020108,0,0.020324
020109,0,0.019566
020110,0,0.029928
020111,0,0.009969
020112,0,0.009978
020113,0,0.009984
020114,0,0.019944
020115,0,0.009971
020116,0,0.009963
020117,0,0.009971
020118,0,0.009966
020119,0,0.019954
020120,0,0.009962
020121,0,0.00997
020122,0,0.00999
020123,0,0.019937
020124,0,0.019956
020125,0,0.009945
020126,0,0.009978
020127,0,0.019943
020128,0,0.009968
020129,0,0.019962
020130,0,0.009959
020131,0,0.009976
020132,0,0.019975
020133,0,0.009996
020134,0,0.009975
020135,0,0.019945
020136,0,0.020194
020137,0,0.010227
020138,0,0.00973
020139,0,0.009976
020140,0,0.010348
020141,0,0.009603
020142,0,0.009965
020143,0,0.019942
020144,0,0.01001
020145,0,0.009957
020146,0,0.009965
020147,0,0.009963
020148,0,0.019966
020149,0,0.009971
020150,0,0.009975
020151,0,0.009972
020152,0,0.009982
020153,0,0.009976
020154,0,0.009958
020155,0,0.009972
020156,0,0.019934
020157,0,0.009993
020158,0,0.009971
020159,0,0.009974
020160,0,0.009973
020161,0,0.019946
020162,0,0.00998
020163,0,0.019943
020164,0,0.009975
020165,0,0.009961
020166,0,0.009975
020167,0,0.019938
020168,0,0.00997
020169,0,0.009972
020170,0,0.009966
020171,0,0.009998
020172,0,0.009973
020173,0,0.00998
020174,0,0.009967
020175,0,0
020176,0,0.009968
020177,0,0
020178,0,0.009975
020179,0,0.00998
020180,0,0.009967
020181,0,0.009969
020182,0,0.009972
020183,0,0.009973
020184,0,0.009973
020185,0,0.009981
020186,0,0.019951
020187,0,0.00997
020188,0,0.030099
020189,0,0.009984
020190,0,0.009973
020191,0,0.009957
020192,0,0.009969
020193,0,0.009973
020194,0,0.009973
020195,0,0.009975
020196,0,0.009984
020197,0,0.009978
020198,0,0.009997
020199,0,0.009947
020200,0,0.009968
020201,0,0.009977
020202,0,0.019946
020203,0,0.020001
020204,0,0.029861
020205,0,0.019952
020206,0,0.029922
020207,0,0.029929
020208,0,0.049873
020209,0,0.059841
020210,0,0.019944
020211,0,0.019948
020212,0,0.029909
020213,0,0.119646
020214,0,0.029926
020215,0,0.029923
020216,0,0.01995
020217,0,0.029922
020218,0,0.019945
020219,0,0.039905
020220,0,0.009926
020221,0,0.04986
020222,0,0.019947
020223,0,0.019951
020224,0,0.029918
020225,0,0.039894
020226,0,0.010335
020227,0,0.009607
020228,0,0.019945
020229,0,0.009969
020230,0,0.009973
020231,0,0.019954
020232,0,0.009979
020233,0,0.009973
020234,0,0.019949
020235,0,0.019935
020236,0,0.049878
020237,0,0.029918
020238,0,0.029925
020239,0,0.019948
020240,0,0.019948
020241,0,0.019933
020242,0,0.019945
020243,0,0.009975
020244,0,0.009978
020245,0,0.019944
020246,0,0.019955
020247,0,0.009968
020248,0,0.029923
020249,0,0.029912
020250,0,0.129663
020251,0,0.039881
020252,0,0.30917
020253,0,0.079779
020254,0,0.019938
020255,0,0.039898
020256,0,0.039899
020257,0,0.039955
020258,0,0.039884
020259,0,0.049884
020260,0,0.029909
020261,0,0.069809
020262,0,0.019948
020263,0,0.039893
020264,0,0.029913
020265,0,0.039912
020266,0,0.049841
020267,0,0.019937
020268,0,0.019942
020269,0,0.009965
020270,0,0.01996
020271,0,0.019947
020272,0,0.009966
020273,0,0.019947
020274,0,0.019968
